IDC	idc-driver	7	0.000048079	Normal	AC13FE07 (172.19.254.7)
IDC	idc-dbhost-1	7	-0.000001081	Normal	AC13FE07 (172.19.254.7)
IDC	idc-dbhost-2	7	-0.000011959	Normal	AC13FE07 (172.19.254.7)
IDC	idc-dbhost-3	7	-0.000013467	Normal	AC13FE07 (172.19.254.7)
IDC	idc-haproxy	7	-0.000064682	Normal	AC13FE07 (172.19.254.7)
GCP	gcp-poc-1	3	0.000003077	Normal	A9FEA9FE (metadata.google.internal)
GCP	gcp-poc-2	3	0.000004479	Normal	A9FEA9FE (metadata.google.internal)
GCP	gcp-poc-3	3	-0.000003732	Normal	A9FEA9FE (metadata.google.internal)
GCP	gcp-poc-4	3	-0.000006785	Normal	A9FEA9FE (metadata.google.internal)
GCP	gcp-poc-5	3	0.000003297	Normal	A9FEA9FE (metadata.google.internal)
