variable	value	setting_type	public	description	default_value	origin
kv.bulk_sst.sync_size	512 KiB	z	f	threshold after which non-Rocks SST writes must fsync	512 KiB	default
kv.bulk_sst.target_size	16 MiB	z	t	target size for SSTs emitted from export requests; export requests (i.e. BACKUP) may buffer up to the sum of kv.bulk_sst.target_size and kv.bulk_sst.max_allowed_overage in memory	16 MiB	default
kv.closed_timestamp.follower_reads.enabled	true	b	t	allow (all) replicas to serve consistent historical reads based on closed timestamp information	true	override
kv.closed_timestamp.lead_for_global_reads_auto_tune.enabled	false	b	t	if enabled, observed network latency between leaseholders and their furthest follower will be used to adjust closed timestamp policies for rangesranges configured to serve global reads. kv.closed_timestamp.lead_for_global_reads_override takes precedence if set.	false	default
kv.closed_timestamp.lead_for_global_reads_override	0s	d	t	if nonzero, overrides the lead time that global_read ranges use to publish closed timestamps	0s	default
kv.closed_timestamp.policy_latency_refresh_interval	4m0s	d	f	interval at which the system refreshes the latency cache based on observed latencies between nodes	4m0s	default
kv.closed_timestamp.policy_refresh_interval	5m0s	d	f	interval at which the system refreshes closed timestamp policies for leaseholders	5m0s	default
kv.closed_timestamp.policy_switch_latency_bucket_exceed_threshold	0.2	f	f	the fraction of the closed timestamp policy bucket width which need be exceeded before the closed timestamp policy will be changed	0.2	default
kv.closed_timestamp.propagation_slack	1s	d	f	a conservative estimate of the amount of time expect for closed timestamps to propagate from a leaseholder to followers. This is taken into account by follower_read_timestamp().	1s	default
kv.closed_timestamp.side_transport_interval	200ms	d	t	the interval at which the closed timestamp side-transport attempts to advance each range's closed timestamp; set to 0 to disable the side-transport	200ms	default
kv.closed_timestamp.side_transport_pacing_refresh_interval	10ms	d	t	the refresh interval for the task pacer that controls pacing of sending sidetransport updates to avoid overloading the system when many connections are waiting	10ms	default
kv.closed_timestamp.side_transport_pacing_smear_interval	1ms	d	t	the smear interval for the task pacer that controls the amount of time each paced batch is going to take when broadcasting sidetransport updates	1ms	default
kv.closed_timestamp.target_duration	3s	d	t	if nonzero, attempt to provide closed timestamp notifications for timestamps trailing cluster time by approximately this duration	3s	default
kv.concurrency.long_latch_hold_duration	3s	d	f	the threshold for logging long latch holds	3s	default
kv.concurrency.optimistic_eval_limited_scans.enabled	true	b	f	when true, limited scans are optimistically evaluated in the sense of not checking for conflicting latches or locks up front for the full key range of the scan, and instead subsequently checking for conflicts only over the key range that was read	true	default
kv.concurrency.push_pending_from_cache.enabled	true	b	f	whether intents from pending transactions can be resolved using cached clock observations	true	default
kv.concurrency.slow_latch_request_duration	5s	d	f	the threshold for logging slow latch acquisition attempts	5s	default
kv.concurrency.virtual_intent_resolution.enabled	false	b	f	whether read-only, non-locking requests should virtually resolve intents	false	default
kv.consistency_queue.enabled	true	b	f	whether the consistency queue is enabled	true	default
kv.dist_sender.circuit_breaker.cancellation.enabled	true	b	t	when enabled, in-flight requests will be cancelled when the circuit breaker trips	true	default
kv.dist_sender.circuit_breaker.cancellation.write_grace_period	10s	d	t	how long after the circuit breaker trips to cancel write requests (these can't retry internally, so should be long enough to allow quorum/lease recovery)	10s	default
kv.dist_sender.circuit_breaker.probe.interval	3s	d	t	interval between replica probes	3s	default
kv.dist_sender.circuit_breaker.probe.threshold	3s	d	t	duration of errors or stalls after which a replica will be probed	3s	default
kv.dist_sender.circuit_breaker.probe.timeout	3s	d	t	timeout for replica probes	3s	default
kv.dist_sender.circuit_breakers.mode	liveness range only	e	t	set of ranges to trip circuit breakers for failing or stalled replicas [no ranges = 0, liveness range only = 1, all ranges = 2]	liveness range only	default
kv.dist_sender.concurrency_limit	1536	i	f	maximum number of asynchronous send requests. The default value is computed as the number of vCPUs in a node times 384.	1536	default
kv.dist_sender.follower_reads_unhealthy.enabled	true	b	f	send follower reads to unhealthy nodes	true	default
kv.dist_sender.non_transactional_writes_not_idempotent.enabled	false	b	f	when true, non-transactional writes are not retried and may return an ambiguous error	false	default
kv.dist_sender.proxy.enabled	true	b	f	when true, proxy batch requests that can't be routed directly to the leaseholder	true	default
kv.dist_sender.sort_locality_first.enabled	true	b	f	sort followers by locality before sorting by latency	true	default
kv.enqueue_in_mvcc_gc_queue_on_span_config_update.enabled	false	b	f	controls whether replicas are enqueued into the mvcc gc queue for processing, when a span config update occurs which affects the replica	false	default
kv.enqueue_in_replicate_queue_on_problem.interval	0s	d	f	interval at which problem ranges are enqueued into the replicate queue for processing, outside of the normal scanner interval; a problem range is one which is underreplicated or has a replica on a decommissioning store, disabled when set to 0	0s	default
kv.enqueue_in_replicate_queue_on_span_config_update.enabled	true	b	f	controls whether replicas are enqueued into the replicate queue for processing, when a span config update occurs, which affects the replica	true	default
kv.gc.admission_priority	bulk_normal_pri	e	f	the admission priority to use for mvcc gc work [bulk_normal_pri = -30, normal_pri = 0, user_high_pri = 50]	bulk_normal_pri	default
kv.gc.clear_range_min_keys	2000	i	f	if non zero, gc will issue clear range requests if number of consecutive garbage keys exceeds this threshold	2000	default
kv.gc.lock_age_threshold	2h0m0s	d	f	locks older than this threshold will be resolved when encountered by the MVCC GC queue	2h0m0s	default
kv.gc.lock_cleanup_batch_byte_size	1000000	i	f	if non zero, gc will split found locks into batches of this size when trying to resolve them	1000000	default
kv.gc.lock_cleanup_batch_size	5000	i	f	if non zero, gc will split found locks into batches of this size when trying to resolve them	5000	default
kv.gc.txn_cleanup_threshold	1h0m0s	d	f	the threshold after which a transaction is considered abandoned and fit for removal, as measured by the maximum of its last heartbeat and timestamp	1h0m0s	default
kv.gc_ttl.strict_enforcement.enabled	true	b	f	if true, fail to serve requests at timestamps below the TTL even if the data still exists	true	default
kv.intent_resolver.batch.bypass_admission_control.enabled	false	b	f	determined whether batched intent resolution bypasses admission control	false	default
kv.intent_resolver.batcher.in_flight_backpressure_limit.enabled	false	b	f	set to true to enable the use of DefaultInFlightBackpressureLimit	false	default
kv.intent_resolver.send_immediately.bypass_admission_control.enabled	true	b	f	determines whether the sendImmediately option on intent resolution bypasses admission control	true	default
kv.lease.check_preferences_on_acquisition.enabled	true	b	f	controls whether lease preferences are checked on lease acquisition, if the new lease violates preferences, it is queued for processing	true	default
kv.lease.eager_acquisition_concurrency	256	i	f	the maximum number of concurrent eager lease acquisitions (0 disables eager acquisition)	256	default
kv.lease.expiration_leases_only.enabled	false	b	f	only use expiration-based leases never epoch-based ones when there are less than kv.lease.expiration_max_replicas_per_node on the node, (experimental, affects performance)	false	default
kv.lease.expiration_max_replicas_per_node	0	i	f	maximum number of replicas a node can have before expiration leases are disabled (0 disables this setting)	0	default
kv.lease.reject_on_leader_unknown.enabled	false	b	f	reject lease requests on a replica that does not know the raft leader	false	default
kv.lease.transfer_expiration_leases_first.enabled	true	b	f	controls whether we transfer expiration-based leases that are later upgraded to epoch-based ones	true	default
kv.lease_queue.enabled	true	b	f	whether the lease queue is enabled	true	default
kv.lease_transfer_read_summary.global_budget	0 B	z	t	controls the maximum number of bytes that will be used to summarize the global segment of the timestamp cache during lease transfers and range merges. A smaller budget will result in loss of precision.	0 B	default
kv.lease_transfer_read_summary.local_budget	4.0 MiB	z	t	controls the maximum number of bytes that will be used to summarize the local segment of the timestamp cache during lease transfers and range merges. A smaller budget will result in loss of precision.	4.0 MiB	default
kv.leases.leader_leases.enabled	true	b	f	controls whether leader leases are enabled for ranges which use the raft leader fortification protocol. The setting is private because most users should interact with kv.raft.leader_fortification.fraction_enabled instead. The setting is only available for rare cases where an operator wants to disable leader leases without disabling the raft leader fortification.	true	default
kv.liveness_range_compact.interval	0s	d	f	interval at which the liveness range is compacted. A value of 0 disables the periodic compaction	0s	default
kv.lock.exclusive_locks_block_non_locking_reads.enabled	true	b	f	dictates the locking interactions between exclusive locks and non-locking reads	true	default
kv.lock_table.batch_pushed_lock_resolution.enabled	true	b	f	whether the lock table should allow non-locking readers to defer and batch the resolution of conflicting locks whose holder is known to be pending and have been pushed above the reader's timestamp	true	default
kv.lock_table.deadlock_detection_or_liveness_push_delay	100ms	d	f	the delay before pushing in order to detect dependency cycles between transactions	100ms	default
kv.lock_table.default_size	10000	i	f	the default upper bound on the number of locks in a lock table. This setting controls the maximum number of locks that can be held in memory by the lock table before it starts evicting locks to manage memory pressure.	10000	default
kv.lock_table.discovered_locks_threshold_for_consulting_finalized_txn_cache	200	i	f	the maximum number of discovered locks by a waiter, above which the txn status cacheis consulted and resolvable locks are not added to the lock table -- this should be a smallfraction of the maximum number of locks in the lock table	200	default
kv.lock_table.maximum_lock_wait_queue_length	0	i	f	the maximum length of a lock wait-queue that read-write requests are willing to enter and wait in. The setting can be used to ensure some level of quality-of-service under severe per-key contention. If set to a non-zero value and an existing lock wait-queue is already equal to or exceeding this length, requests will be rejected eagerly instead of entering the queue and waiting. Set to 0 to disable.	0	default
kv.lock_table.unreplicated_lock_reliability.lease_transfer.enabled	true	b	f	whether the replica should attempt to keep unreplicated locks during lease transfers	true	default
kv.lock_table.unreplicated_lock_reliability.max_flush_size	0 B	z	f	maximum size of locks that will be flushed during merge and transfer operations (if 0, defaults to half of the MaxCommandSizeDefault)	0 B	default
kv.lock_table.unreplicated_lock_reliability.merge.enabled	true	b	f	whether the replica should attempt to keep unreplicated locks during range merges	true	default
kv.lock_table.unreplicated_lock_reliability.split.enabled	true	b	f	whether the replica should attempt to keep unreplicated locks during range splits	true	default
kv.log_range_and_node_events.enabled	true	b	t	set to true to transactionally log range events (e.g., split, merge, add/remove voter/non-voter) into system.rangelogand node join and restart events into system.eventolog	true	default
kv.migration.migrate_application.timeout	1m0s	d	f	timeout for a Migrate request to be applied across all replicas of a range	1m0s	default
kv.mvcc_gc.queue_high_priority_interval	0s	d	f	how long the mvcc gc queue waits between processing high priority replicas (e.g. after table drops)	0s	default
kv.mvcc_gc.queue_interval	1s	d	f	how long the mvcc gc queue waits between processing replicas	1s	default
kv.mvcc_gc_queue.enabled	true	b	f	whether the MVCC GC queue is enabled	true	default
kv.priority_inversion_requeue_replicate_queue.enabled	true	b	f	whether the requeue replicas should requeue when enqueued for repair action but ended up consider rebalancing during processing	true	default
kv.prober.bypass_admission_control.enabled	true	b	f	set to bypass admission control queue for kvprober requests; note that dedicated clusters should have this set as users own capacity planning but serverless clusters should not have this set as SREs own capacity planning	true	default
kv.prober.log_tracing_on_plan_failure.enabled	false	b	f	whether the KV prober should print log traces when planning fails; requires kv.prober.tracing.enabled to be set to true	false	default
kv.prober.planner.num_steps_to_plan_at_once	100	i	f	the number of Steps to plan at once, where a Step is a decision on what range to probe; the order of the Steps is randomized within each planning run, so setting this to a small number will lead to close-to-lexical probing; already made plans are held in memory, so large values are advised against	100	default
kv.prober.planner.scan_meta2.timeout	2s	d	f	timeout on scanning meta2 via db.Scan with max rows set to kv.prober.planner.num_steps_to_plan_at_once	2s	default
kv.prober.quarantine.write.enabled	false	b	f	whether the KV write prober is enabled for the quarantine pool; The quarantine pool holds a separate group of ranges that have previously failed a probe which are continually probed. This helps determine outages for ranges  with a high level of confidence	false	default
kv.prober.quarantine.write.interval	10s	d	f	how often each node sends a write probe for the quarantine pool to the KV layer on average (jitter is added); note that a very slow read can block kvprober from sending additional probes; kv.prober.write.timeout controls the max time kvprober can be blocked	10s	default
kv.prober.quarantine_pool_size	100	i	f	the maximum size of the kv prober quarantine pool, where the quarantine pool holds Steps for ranges that have been probed and timed out; If the quarantine pool is full, probes that fail will not be added to  the pool	100	default
kv.prober.read.enabled	false	b	f	whether the KV read prober is enabled	false	default
kv.prober.read.interval	1s	d	f	how often each node sends a read probe to the KV layer on average (jitter is added); note that a very slow read can block kvprober from sending additional probes; kv.prober.read.timeout controls the max time kvprober can be blocked	1s	default
kv.prober.read.timeout	2s	d	f	if this much time elapses without success, a KV read probe will be treated as an error; note that a very slow read can block kvprober from sending additional probesthis setting controls the max time kvprober can be blocked	2s	default
kv.prober.tracing.enabled	false	b	f	whether the KV prober should collect traces, in order to log info aboutleaseholders of ranges probed	false	default
kv.prober.write.enabled	false	b	f	whether the KV write prober is enabled	false	default
kv.prober.write.interval	5s	d	f	how often each node sends a write probe to the KV layer on average (jitter is added); note that a very slow read can block kvprober from sending additional probes; kv.prober.write.timeout controls the max time kvprober can be blocked	5s	default
kv.prober.write.timeout	4s	d	f	if this much time elapses without success, a KV write probe will be treated as an error; note that a very slow read can block kvprober from sending additional probesthis setting controls the max time kvprober can be blocked	4s	default
kv.protectedts.max_bytes	1048576	i	f	if non-zero, this limits the number of bytes used by protected timestamp records in the protected timestamps system table. this will be a noop in 24.1 onwards and deprecated in the future	1048576	default
kv.protectedts.max_spans	32768	i	f	if non-zero the limit of the number of spans which can be protected	32768	default
kv.protectedts.poll_interval	2m0s	d	f	the interval at which the protectedts subsystem state is polled	2m0s	default
kv.protectedts.reconciliation.interval	5m0s	d	t	the frequency for reconciling jobs with protected timestamp records	5m0s	default
kv.query_resolved_timestamp.intent_cleanup_age	10s	d	f	minimum intent age that QueryResolvedTimestamp requests will consider for async intent cleanup	10s	default
kv.queue.process.guaranteed_time_budget	1m0s	d	f	the guaranteed duration before which the processing of a queue may time out	1m0s	default
kv.raft.command.max_size	64 MiB	z	f	maximum size of a raft command	64 MiB	default
kv.raft.command.target_batch_size	64 MiB	z	f	size of a batch of raft commands after which it will be sent without further batching	64 MiB	default
kv.raft.leader_fortification.fraction_enabled	1	f	t	controls the fraction of ranges for which the raft leader fortification protocol is enabled. Leader fortification is needed for a range to use a Leader lease. Set to 0.0 to disable leader fortification and, by extension, Leader leases. Set to 1.0 to enable leader fortification for all ranges and, by extension, use Leader leases for all ranges which do not require expiration-based leases. Set to a value between 0.0 and 1.0 to gradually roll out Leader leases across the ranges in a cluster.	1	default
kv.raft.max_concurrent_traces	0	i	f	the maximum number of tracked raft traces, 0 will disable tracing	0	default
kv.raft.proposal_quota.enabled	true	b	f	set to true to enable waiting for and acquiring quota before issuing Raft proposals, false to disable	true	default
kv.raft.store_liveness.quiescence.enabled	true	b	f	controls whether store liveness quiescence is enabled	true	default
kv.raft.trace_to_cockroach_log.enabled	false	b	f	when true, log raft traces to the cockroach log in addition to the trace	false	default
kv.raft_log.synchronization.unsafe.disabled	false	b	f	disables synchronization of Raft log writes to persistent storage. Setting to true risks data loss or data corruption on process or OS crashes. This not only disables fsync, but also disables flushing writes to the OS buffer. The setting is meant for internal testing only and SHOULD NOT be used in production.	false	default
kv.raft_log.loosely_coupled_truncation.enabled	false	b	f	set to true to loosely couple the raft log truncation	false	default
kv.raft_log.non_blocking_synchronization.enabled	true	b	f	set to true to enable non-blocking synchronization on Raft log writes to persistent storage. Setting to true does not risk data loss or data corruption on server crashes, but can reduce write latency.	true	default
kv.raft_log_queue.enabled	true	b	f	whether the raft log queue is enabled	true	default
kv.raft_snapshot_queue.enabled	true	b	f	whether the raft snapshot queue is enabled	true	default
kv.range.backpressure_byte_tolerance	32 MiB	z	f	defines the number of bytes above the product of backpressure_range_size_multiplier and the range_max_size at which backpressure will not apply	32 MiB	default
kv.range.backpressure_range_size_multiplier	2	f	f	multiple of range_max_bytes that a range is allowed to grow to without splitting before writes to that range are blocked, or 0 to disable	2	default
kv.range.range_size_hard_cap	8.0 GiB	z	t	hard cap on the maximum size a range is allowed to grow to withoutsplitting before writes to the range are blocked. Takes precedence over all other configurations	8.0 GiB	default
kv.range_descriptor_cache.size	1000000	i	f	maximum number of entries in the range descriptor cache	1000000	default
kv.range_merge.queue.enabled	true	b	f	whether the automatic merge queue is enabled	true	default
kv.range_merge.queue_interval	5s	d	f	how long the merge queue waits between processing replicas	5s	default
kv.range_merge.skip_external_bytes.enabled	true	b	f	skip the merge queue for external bytes	true	default
kv.range_split.by_load.enabled	true	b	t	allow automatic splits of ranges based on where load is concentrated	true	override
kv.range_split.by_load_merge_delay	5m0s	d	f	the delay that range splits created due to load will wait before considering being merged away	5m0s	default
kv.range_split.estimated_stats_for_external_bytes.enabled	true	b	f	allow splits to use estimated stats when the range being split has external bytes in its underlying store	true	default
kv.range_split.load_cpu_threshold	500ms	d	t	the CPU use per second over which, the range becomes a candidate for load based splitting	500ms	default
kv.range_split.load_qps_threshold	2500	i	t	the QPS over which, the range becomes a candidate for load based splitting	2500	default
kv.range_split.load_sample_reset_duration	30m0s	d	f	the duration after which the load based split sampler will reset its state, regardless of any split suggestions made, when zero, the sampler will never reset	30m0s	default
kv.rangefeed.buffered_sender.enabled	true	b	f	use buffered sender for all range feeds instead of buffering events separately per client per range	true	default
kv.rangefeed.buffered_sender.per_registration_max_queue_size	8192	i	f	maximum number of events a single registration can have queued in the event queue (0 for no max)	8192	default
kv.rangefeed.bulk_delivery.size	2097152	i	f	approx size up to which rangefeeds may buffer events to be delivered in bulk during scans (0=disabled)	2097152	default
kv.rangefeed.client.stream_startup_rate	100	i	t	controls the rate per second the client will initiate new rangefeed stream for a single range; 0 implies unlimited	100	default
kv.rangefeed.closed_timestamp_refresh_interval	3s	d	t	the interval at which closed-timestamp updatesare delivered to rangefeeds; set to 0 to use kv.closed_timestamp.side_transport_interval	3s	default
kv.rangefeed.closed_timestamp_smear_interval	1ms	d	f	the target interval at which the rangefeed updater job wakes up to deliverclosed-timestamp updates to some rangefeeds; set to 0 to use kv.rangefeed.closed_timestamp_refresh_intervalcapped at kv.rangefeed.closed_timestamp_refresh_interval	1ms	default
kv.rangefeed.concurrent_catchup_iterators	16	i	f	number of rangefeeds catchup iterators a store will allow concurrently before queueing	16	default
kv.rangefeed.enabled	false	b	t	if set, rangefeed registration is enabled	false	default
kv.rangefeed.lagging_closed_timestamp_cancel_min_lagging_duration	1m0s	d	f	if a range's closed timestamp is more than `kv.rangefeed.lagging_closed_timestamp_cancel_multiple` of the `kv.closed_timestamp.target_duration` behind the current time,for at least this duration, cancel the rangefeed	1m0s	default
kv.rangefeed.lagging_closed_timestamp_cancel_multiple	20	i	f	if a range's closed timestamp is more than this multiple of the `kv.closed_timestamp.target_duration` behind the current time,for at least `kv.rangefeed.lagging_closed_timestamp_cancel_min_lagging_duration`, cancel the rangefeed, when set to 0, canceling is disabled	20	default
kv.rangefeed.max_scan_parallelism	64	i	f	maximum number of concurrent scan requests that can be issued during initial scan	64	default
kv.rangefeed.memory_budgets.enabled	true	b	f	if set, rangefeed memory budgets are enabled	true	default
kv.rangefeed.per_consumer_catchup_scan_limit	0	i	f	the number of catchup scan iterators a node will allow on a per-consumer basis, 0 to disable	0	default
kv.rangefeed.push_txns.barrier.enabled	true	b	f	flush and apply prior writes when a txn push returns an ambiguous abort (disabling may emit premature checkpoints before writes in rare cases)	true	default
kv.rangefeed.push_txns.enabled	true	b	f	periodically push txn write timestamps to advance rangefeed resolved timestamps	true	default
kv.replica_circuit_breaker.slow_replication_threshold	1m0s	d	t	duration after which slow proposals trip the per-Replica circuit breaker (zero duration disables breakers)	1m0s	default
kv.replica_gc_queue.enabled	true	b	f	whether the replica gc queue is enabled	true	default
kv.replica_raft.leaderless_unavailable_threshold	1m0s	d	t	duration after which leaderless replicas is considered unavailable. Set to 0 to disable leaderless replica availability checks	1m0s	default
kv.replica_stats.addsst_request_size_factor	50000	i	t	the divisor that is applied to addsstable request sizes, then recorded in a leaseholders QPS; 0 means all requests are treated as cost 1	50000	default
kv.replicate_queue.enabled	true	b	f	whether the replicate queue is enabled	true	default
kv.replicate_queue.max_size	9223372036854775807	i	f	maximum number of replicas that can be queued for replicate queue processing; when this limit is exceeded, lower priority (not guaranteed to be the lowest) replicas are dropped from the queue	9223372036854775807	default
kv.replication_reports.interval	1m0s	d	t	the frequency for generating the replication_constraint_stats, replication_stats_report and replication_critical_localities reports (set to 0 to disable)	1m0s	default
kv.snapshot.external_files.enabled	false	b	f	enables sending external files as metadata during a snapshot	false	default
kv.snapshot.ingest_as_write_threshold	100 KiB	z	f	size below which a range snapshot ingestion will be performed as a normal write	100 KiB	default
kv.snapshot_delegation.max_delegation_attempts	1	i	f	the max number of delegates to attempt for sending snapshots, before falling back to sending from the leaseholder. set to 0 to disable delegated snapshots.	1	default
kv.snapshot_delegations.queue_limit	3	i	f	the max requests a delegate can queue before rejecting an additional delegation request. set to -1 to allow unlimited requests	3	default
kv.snapshot_rebalance.max_rate	32 MiB	z	t	the rate limit (bytes/sec) to use for rebalance and upreplication snapshots	32 MiB	default
kv.snapshot_rebalance.max_sst_size	128 MiB	z	f	maximum size of a rebalance or recovery SST size	128 MiB	default
kv.snapshot_receiver.checksum_verification.enabled	true	b	f	verify value checksums on receiving a raft snapshot	true	default
kv.snapshot_receiver.reservation_queue_timeout_fraction	0.4	f	f	the fraction of a snapshot's total timeout that it is allowed to spend queued on the receiver waiting for a reservation	0.4	default
kv.snapshot_sender.batch_size	256 KiB	z	f	size of key-value batches sent over the network during snapshots	256 KiB	default
kv.snapshot_sst.sync_size	512 KiB	z	f	threshold after which snapshot SST writes must fsync	512 KiB	default
kv.split.estimated_mvcc_stats.enabled	true	b	f	if enabled, MVCC stats will be computed estimated (as opposed to computed accurately) during splits	true	default
kv.split.max_mvcc_stat_bytes_diff	5120000	i	f	defines the max number of bytes that are acceptable for an individual MVCC stat to diverge; needs kv.split.estimated_mvcc_stats.enabled to be true	5120000	default
kv.split.max_mvcc_stat_count_diff	5000	i	f	defines the max number of units that are acceptable for an individual MVCC stat to diverge; needs kv.split.estimated_mvcc_stats.enabled to be true	5000	default
kv.split.mvcc_stats_recomputation.enabled	true	b	f	if enabled, MVCC stats will be recomputed at the beginning of a split to prevent stats estimates from drifting	true	default
kv.split.slow_split_tracing_threshold	2s	d	f	the duration after which a trace of the split is logged	2s	default
kv.split_queue.enabled	true	b	f	whether the split queue is enabled	true	default
kv.store.raft_snapshot.apply_limit	1	i	f	number of concurrent snapshot apply requests that can be handled by store	1	default
kv.store.raft_snapshot.send_limit	2	i	f	number of concurrent snapshot sent requests that can be generated by store	2	default
kv.store.system_config_update.queue_add_burst	32	i	f	the burst rate at which the store will add all replicas to the split and merge queue due to system config gossip	32	default
kv.store.system_config_update.queue_add_rate	0.5	f	f	the rate (per second) at which the store will add, all replicas to the split and merge queue due to system config gossip	0.5	default
kv.store_gossip.capacity_delta_threshold	0.1	f	f	the fraction from the last gossiped store capacity values which need be exceeded before the store will gossip immediately without waiting for the periodic gossip interval, at most kv.store_gossip.max_frequency frequency	0.1	default
kv.store_gossip.max_frequency	2s	d	f	the maximum frequency at which a store will gossip its store descriptor	2s	default
kv.store_liveness.enabled	true	b	f	if enabled, store liveness will heartbeat periodically; if disabled, store liveness will still respond to heartbeats and calls to SupportFor	true	default
kv.store_liveness.heartbeat_smearing.enabled	true	b	f	if enabled, heartbeat sends are smeared across a certain duration, via the transport goroutine, otherwise heartbeat sends are sent when they are enqueued at the sendQueue, bypassing heartbeat smearing	true	default
kv.store_liveness.heartbeat_smearing.refresh	10ms	d	f	the total time window within which all queued heartbeat messages should be sent; the pacer distributes the work across this duration to complete by the deadline	10ms	default
kv.store_liveness.heartbeat_smearing.smear	1ms	d	f	the interval between sending successive batches of heartbeats across all send queues	1ms	default
kv.streamer.concurrency_limit	384	i	f	maximum number of asynchronous requests by a single streamer. The default value is computed as the number of vCPUs in a node times 96.	384	default
kv.tenant_rate_limiter.burst_limit_seconds	10	f	f	per-tenant burst limit as a multiplier of the rate	10	default
kv.tenant_rate_limiter.rate_limit	-400	f	f	per-tenant rate limit in KV Compute Units per second if positive, or KV Compute Units per second per CPU if negative	-400	default
kv.tenant_rate_limiter.read_batch_cost	0.567	f	f	base cost of a read batch in KV Compute Units	0.567	default
kv.tenant_rate_limiter.read_cost_per_mebibyte	12.77	f	f	cost of a read in KV Compute Units per MiB	12.77	default
kv.tenant_rate_limiter.read_request_cost	0.0275	f	f	base cost of a read request in KV Compute Units	0.0275	default
kv.tenant_rate_limiter.write_batch_cost	0.328	f	f	base cost of a write batch in KV Compute Units	0.328	default
kv.tenant_rate_limiter.write_cost_per_megabyte	43.95	f	f	cost of a write in KV Compute Units per MiB	43.95	default
kv.tenant_rate_limiter.write_request_cost	0.314	f	f	base cost of a write request in KV Compute Units	0.314	default
kv.timeseries_maintenance_queue.enabled	true	b	f	whether the timeseries maintenance queue is enabled	true	default
kv.trace.slow_request_stacks.threshold	30s	d	f	duration spent in processing above any available stack history is appended to its trace, if automatic trace snapshots are enabled	30s	default
kv.trace.snapshot.enable_threshold	0s	d	f	enables tracing and gathers timing information on all snapshots;snapshots with a duration longer than this threshold will have their trace logged (set to 0 to disable);	0s	default
kv.transaction.dropping_latches_before_eval.enabled	true	b	f	if enabled, allows certain read-only KV requests to drop latches before they evaluate	true	default
kv.transaction.internal.max_auto_retries	100	i	f	controls the maximum number of auto-retries an internal KV transaction will perform before aborting and returning an error. Can be set to 0 to disable any retry attempt.	100	default
kv.transaction.keep_refresh_spans_on_savepoint_rollback.enabled	true	b	f	if enabled, all refresh spans accumulated since a savepoint was created are kept after the savepoint is rolled back	true	default
kv.transaction.max_intents_and_locks	0	i	t	maximum count of inserts or durable locks for a single transactions, 0 to disable	0	default
kv.transaction.max_intents_bytes	4194304	i	t	maximum number of bytes used to track locks in transactions	4194304	default
kv.transaction.max_refresh_spans_bytes	4194304	i	t	maximum number of bytes used to track refresh spans in serializable transactions	4194304	default
kv.transaction.parallel_commits.enabled	true	b	f	if enabled, transactional commits will be parallelized with transactional writes	true	default
kv.transaction.randomized_anchor_key.enabled	false	b	t	dictates whether a transactions anchor key is randomized or not	false	default
kv.transaction.reject_over_max_intents_budget.enabled	false	b	t	if set, transactions that exceed their lock tracking budget (kv.transaction.max_intents_bytes) are rejected instead of having their lock spans imprecisely compressed	false	default
kv.transaction.write_buffering.enabled	true	b	t	if enabled, transactional writes are buffered on the client	true	default
kv.transaction.write_buffering.max_buffer_size	4.0 MiB	z	t	if non-zero, defines that maximum size of the buffer that will be used to buffer transactional writes per-transaction	4.0 MiB	default
kv.transaction.write_buffering.transformations.get.enabled	true	b	f	if enabled, locking get requests with replicated durability are transformed to unreplicated durability	true	default
kv.transaction.write_buffering.transformations.scans.enabled	true	b	f	if enabled, locking scans and reverse scans with replicated durability are transformed to unreplicated durability	true	default
kv.transaction.write_pipelining.locking_reads.enabled	true	b	t	if enabled, transactional locking reads are pipelined through Raft consensus	true	default
kv.transaction.write_pipelining.ranged_writes.enabled	true	b	t	if enabled, transactional ranged writes are pipelined through Raft consensus	true	default
kv.transaction.write_pipelining.enabled	true	b	t	if enabled, transactional writes are pipelined through Raft consensus	true	default
kv.transaction.write_pipelining.max_batch_size	128	i	t	if non-zero, defines that maximum size batch that will be pipelined through Raft consensus	128	default
kvadmission.elastic_control_bulk_low_priority.enabled	true	b	f	determines whether the all low bulk priority requests integrate with elastic CPU control	true	default
kvadmission.elastic_cpu.duration_per_export_request	100ms	d	f	controls how many CPU tokens are allotted for each export request	100ms	default
kvadmission.elastic_cpu.duration_per_low_pri_read	10ms	d	f	controls how many CPU tokens are allotted for each internally submitted low priority read request	10ms	default
kvadmission.elastic_cpu.duration_per_rangefeed_scan_unit	100ms	d	f	controls how many CPU tokens are allotted for each unit of work during rangefeed catchup scans	100ms	default
kvadmission.flow_control.dispatch.max_bytes	64 MiB	z	f	limits the size of flow control dispatch messages being attached to a single raft message	64 MiB	default
kvadmission.flow_control.enabled	true	b	f	determines whether we use flow control for replication traffic in KV	true	default
kvadmission.flow_control.mode	apply_to_all	e	f	determines the 'mode' of flow control we use for replication traffic in KV, if enabled [apply_to_elastic = 0, apply_to_all = 1]	apply_to_all	default
kvadmission.flow_controller.elastic_tokens_per_stream	8.0 MiB	z	f	flow tokens available for elastic work on a per-stream basis	8.0 MiB	default
kvadmission.flow_controller.regular_tokens_per_stream	16 MiB	z	f	flow tokens available for regular work on a per-stream basis	16 MiB	default
kvadmission.flow_controller.token_reset_epoch	0	i	f	escape hatch for administrators to reset all token counters to their default (full) state	0	default
